id,title,image_link
8793,تي شيرت باب الاحساء,https://e-majaz.com/wp-content/uploads/2020/09/thumbnail_bf218ba69a-198546-front-flat-198546.jpg
8804,تي شيرت باب الاحساء - xs,
8805,تي شيرت باب الاحساء - m,
8806,تي شيرت باب الاحساء - s,
8807,تي شيرت باب الاحساء - xl,
8808,تي شيرت باب الاحساء - l,
8809,تي شيرت باب الاحساء - xxl,
8811,تي شيرت قصر إبراهيم,https://e-majaz.com/wp-content/uploads/2020/09/thumbnail_fd89656138-198548-front-flat-198548.jpg
8812,تي شيرت قصر إبراهيم - l,
8813,تي شيرت قصر إبراهيم - m,
8814,تي شيرت قصر إبراهيم - s,
8815,تي شيرت قصر إبراهيم - xl,
8816,تي شيرت قصر إبراهيم - xs,
8817,تي شيرت قصر إبراهيم - xxl,
8818,تي شيرت مجاز,https://e-majaz.com/wp-content/uploads/2020/09/thumbnail_0e5c1c7865-198549-front-flat-198549.jpg
8819,تي شيرت مجاز - l,
8820,تي شيرت مجاز - m,
8821,تي شيرت مجاز - s,
8822,تي شيرت مجاز - xl,
8823,تي شيرت مجاز - xs,
8824,تي شيرت مجاز - xxl,
8837,قلم,https://e-majaz.com/wp-content/uploads/2020/09/اقلام.jpg
8838,"باب القيصرية ""ميدالية""",https://e-majaz.com/wp-content/uploads/2020/09/١Souq-majaz_Products-file.jpg
8840,بروش النخلة,https://e-majaz.com/wp-content/uploads/2020/09/بنز-e1601216169101.jpg
8841,بروش رطب,https://e-majaz.com/wp-content/uploads/2020/09/٤Souq-majaz_Products-file-e1601216424471.jpg
8844,قصر إبراهيم,https://e-majaz.com/wp-content/uploads/2020/09/Souq-majaz_Products-file-e1601216611273.jpg
9287,دبس تمر خلاص طبيعي,https://e-majaz.com/wp-content/uploads/2021/03/PHOTO-2021-03-13-13-53-32-2.jpg
9601,طحينة تمر,https://e-majaz.com/wp-content/uploads/2020/10/43fcfaa3-f211-49d1-b068-fca90e54ba1e.jpg
10225,رز حساوي درجة أولى,https://e-majaz.com/wp-content/uploads/2020/11/رز-حساوي.jpeg
10226,مفلق حساوي,https://e-majaz.com/wp-content/uploads/2020/11/3.jpg
10228,حلوه حساوي,https://e-majaz.com/wp-content/uploads/2020/11/7.jpg
10229,سمسم حساوي,https://e-majaz.com/wp-content/uploads/2020/11/6.jpg
10246,بودرة التمر,https://e-majaz.com/wp-content/uploads/2020/11/9.jpg
10247,بهارات السمك الحساوي,https://e-majaz.com/wp-content/uploads/2020/11/11.jpg
10248,بهارات الحشو الحساوي,https://e-majaz.com/wp-content/uploads/2020/11/10.jpg
10249,بهارات مشكل حساوي,https://e-majaz.com/wp-content/uploads/2020/11/14.jpg
10250,بهارات البرياني,https://e-majaz.com/wp-content/uploads/2020/11/15.jpg
10251,حنة حساوية,https://e-majaz.com/wp-content/uploads/2020/11/12.jpg
10252,أرز حساوي درجة ثانية,https://e-majaz.com/wp-content/uploads/2020/11/1.jpg
10253,ورد حساوي مجفف,https://e-majaz.com/wp-content/uploads/2020/11/13.jpg
10254,بر حساوي حب,https://e-majaz.com/wp-content/uploads/2020/11/8.jpg
10259,حب رشاد حساوي,https://e-majaz.com/wp-content/uploads/2020/11/16.jpg
10260,الحلبة الحساوية,https://e-majaz.com/wp-content/uploads/2020/11/17.jpg
10270,سدر حساوي,https://e-majaz.com/wp-content/uploads/2020/11/20.jpg
10271,تمر حساوي مجفف,https://e-majaz.com/wp-content/uploads/2020/11/21.jpg
10290,سبحة عظم الجمل,"https://e-majaz.com/wp-content/uploads/2020/11/IMG_0703.jpg, https://e-majaz.com/wp-content/uploads/2020/11/IMG_0703.jpg"
10300,سبحة تراب كهرمان فواح,https://e-majaz.com/wp-content/uploads/2020/11/23.jpg
10318,مسباح سندلس ألماني (زعفراني),https://e-majaz.com/wp-content/uploads/2020/11/31.jpg
10320,مسباح قرن الجاموس,https://e-majaz.com/wp-content/uploads/2020/11/30.jpg
10322,سبحة بكلايت معطّش,"https://e-majaz.com/wp-content/uploads/2020/11/28.jpg, https://e-majaz.com/wp-content/uploads/2020/11/29.jpg"
10326,سبحة سندلس ألماني,https://e-majaz.com/wp-content/uploads/2020/11/27.jpg
10328,سبحة فاتوران,https://e-majaz.com/wp-content/uploads/2020/11/26.jpg
11373,سبحة كهرمان أصفر,"https://e-majaz.com/wp-content/uploads/2020/11/PHOTO-2020-11-21-14-29-43-3.jpg, https://e-majaz.com/wp-content/uploads/2020/11/PHOTO-2020-11-21-14-29-43.jpg, https://e-majaz.com/wp-content/uploads/2020/11/PHOTO-2020-11-21-14-29-43-2.jpg, https://e-majaz.com/wp-content/uploads/2020/11/PHOTO-2020-11-21-14-29-43-3.jpg"
